"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","1187383.8","1571729.4"
"5","январь-июнь","тысяча рублей","2782982.8","4642105.3"
"6","январь-сентябрь","тысяча рублей","5356757.3","8942798"
"7","январь-декабрь","тысяча рублей","8275375","15928398.6"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-сентябрь","тысяча рублей","2084561.7",""
"10","январь-декабрь","тысяча рублей","3809564.3",""
"11","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"12","январь-март","тысяча рублей","32457.2","31731.5"
"13","январь-июнь","тысяча рублей","56560.7","55685.8"
"14","январь-сентябрь","тысяча рублей","76963.4","76687.5"
"15","январь-декабрь","тысяча рублей","107058","110380.4"
