"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","238442.9","223761.5"
"5","январь-июнь","тысяча рублей","475688.5","408430.1"
"6","январь-сентябрь","тысяча рублей","757465.4","638175.6"
"7","январь-декабрь","тысяча рублей","977210","820655.7"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-сентябрь","тысяча рублей","31446",""
"10","Раздел C Обрабатывающие производства","","",""
"11","январь-март","тысяча рублей","2089.1",""
"12","январь-июнь","тысяча рублей","4097.9",""
"13","январь-сентябрь","тысяча рублей","6312.4",""
"14","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"15","январь-март","тысяча рублей","199405.2","179418.9"
"16","январь-июнь","тысяча рублей","385718.2","316500.6"
"17","январь-сентябрь","тысяча рублей","577606.8","385818.8"
"18","январь-декабрь","тысяча рублей","740624.2","466245.7"
"19","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"20","январь-март","тысяча рублей","2551.4",""
"21","январь-июнь","тысяча рублей","11046.9",""
"22","январь-сентябрь","тысяча рублей","13839.9",""
