"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","514516.9","629325.7"
"5","январь-июнь","тысяча рублей","874894.8","1015434.7"
"6","январь-сентябрь","тысяча рублей","1172752.2","1380934.8"
"7","январь-декабрь","тысяча рублей","1743285","2064715.9"
"8","Раздел C Обрабатывающие производства","","",""
"9","январь-июнь","тысяча рублей","148.1",""
"10","январь-сентябрь","тысяча рублей","386.5",""
"11","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"12","январь-март","тысяча рублей","263221","294443.1"
"13","январь-июнь","тысяча рублей","346990.8","389366.2"
"14","январь-сентябрь","тысяча рублей","388905.5","436779.7"
"15","январь-декабрь","тысяча рублей","","671762"
