"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","408160.7","399647.6"
"5","январь-июнь","тысяча рублей","708684.1","662287.5"
"6","январь-сентябрь","тысяча рублей","966835.6","909572.4"
"7","январь-декабрь","тысяча рублей","1445308.4","1404344"
"8","Раздел C Обрабатывающие производства","","",""
"9","январь-март","тысяча рублей","25001.1",""
"10","январь-июнь","тысяча рублей","76477.9",""
"11","январь-сентябрь","тысяча рублей","147920.6",""
"12","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"13","январь-март","тысяча рублей","187502.3",""
"14","январь-июнь","тысяча рублей","245539.9",""
"15","январь-сентябрь","тысяча рублей","278283.9",""
