"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","576200.6","411850.3"
"5","январь-июнь","тысяча рублей","906437.3","653714.1"
"6","январь-сентябрь","тысяча рублей","1166794.8","918053.6"
"7","январь-декабрь","тысяча рублей","1571717.8","1344091.9"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","225401",""
"10","январь-июнь","тысяча рублей","266338",""
"11","январь-сентябрь","тысяча рублей","277541.1",""
"12","Раздел C Обрабатывающие производства","","",""
"13","январь-март","тысяча рублей","5828.7",""
"14","январь-июнь","тысяча рублей","16023.2",""
"15","январь-сентябрь","тысяча рублей","30674.6",""
"16","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"17","январь-март","тысяча рублей","181106.7",""
"18","январь-июнь","тысяча рублей","226040",""
"19","январь-сентябрь","тысяча рублей","263197.2",""
