"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","295883.4","330765.8"
"5","январь-июнь","тысяча рублей","496358.6","533104.6"
"6","январь-сентябрь","тысяча рублей","738633.8","718961.7"
"7","январь-декабрь","тысяча рублей","1111646.7","1082421.3"
"8","Раздел C Обрабатывающие производства","","",""
"9","январь-март","тысяча рублей","3545.9",""
"10","январь-июнь","тысяча рублей","13519.8",""
"11","январь-сентябрь","тысяча рублей","101380.8",""
"12","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"13","январь-март","тысяча рублей","185715.1",""
"14","январь-июнь","тысяча рублей","234371.9",""
"15","январь-сентябрь","тысяча рублей","258904.9",""
