"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","84247566.6","120879047.2"
"5","январь-июнь","тысяча рублей","122849633.4","261579065"
"6","январь-сентябрь","тысяча рублей","198356233.9","377800579.7"
"7","январь-декабрь","тысяча рублей","316953862.5","499543443"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","74206019.5","111905513.7"
"10","январь-июнь","тысяча рублей","104978657.1","242088157.1"
"11","январь-сентябрь","тысяча рублей","171629812.7","347599105.4"
"12","январь-декабрь","тысяча рублей","280996535.5","457928545.8"
"13","Раздел C Обрабатывающие производства","","",""
"14","январь-март","тысяча рублей","140386.4","211652.2"
"15","январь-июнь","тысяча рублей","338829.9","383521.7"
"16","январь-сентябрь","тысяча рублей","515516.2","569790.2"
"17","январь-декабрь","тысяча рублей","718032.3","727703.2"
"18","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"19","январь-март","тысяча рублей","4234085.3","3439091.2"
"20","январь-июнь","тысяча рублей","6665014.6","6758970.9"
"21","январь-сентябрь","тысяча рублей","8711655.9","8855745.8"
"22","январь-декабрь","тысяча рублей","12272286","12546200.8"
"23","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"24","январь-сентябрь","тысяча рублей","3033.3",""
