"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","633642.7","756720"
"5","январь-июнь","тысяча рублей","981389.2","1093208.2"
"6","январь-сентябрь","тысяча рублей","1378074.5","1487184.7"
"7","январь-декабрь","тысяча рублей","2030548","2232113"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","296098",""
"10","январь-июнь","тысяча рублей","317101",""
"11","январь-сентябрь","тысяча рублей","326802",""
"12","Раздел C Обрабатывающие производства","","",""
"13","январь-март","тысяча рублей","23903",""
"14","январь-июнь","тысяча рублей","51073",""
"15","январь-сентябрь","тысяча рублей","93108",""
"16","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"17","январь-март","тысяча рублей","151880.8",""
"18","январь-июнь","тысяча рублей","202103.4",""
"19","январь-сентябрь","тысяча рублей","232915.6",""
