"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","36221909.1","37642199.5"
"5","январь-июнь","тысяча рублей","62826629.1","78628481.8"
"6","январь-сентябрь","тысяча рублей","100081678.6","118727560.8"
"7","январь-декабрь","тысяча рублей","145268073.1","170585418.7"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","8499026.8","10884373.6"
"10","январь-июнь","тысяча рублей","9270065.5","17823235.2"
"11","январь-сентябрь","тысяча рублей","15402911.3","22142198.7"
"12","январь-декабрь","тысяча рублей","28231645.7","33352458.1"
"13","Раздел C Обрабатывающие производства","","",""
"14","январь-март","тысяча рублей","3332682.2","1197838.7"
"15","январь-июнь","тысяча рублей","5158227","2495385"
"16","январь-сентябрь","тысяча рублей","6289597.9","3942885"
"17","январь-декабрь","тысяча рублей","7395214.2","5194029.3"
"18","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"19","январь-март","тысяча рублей","7210018.2","8305395.9"
"20","январь-июнь","тысяча рублей","12191857.1","15564861.7"
"21","январь-сентябрь","тысяча рублей","16471033.9","20188132.7"
"22","январь-декабрь","тысяча рублей","24204232.9","30693234.5"
"23","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"24","январь-март","тысяча рублей","423393.7","546270.9"
"25","январь-июнь","тысяча рублей","889946","1082055.3"
"26","январь-сентябрь","тысяча рублей","1326046.1","1595676.2"
"27","январь-декабрь","тысяча рублей","1795219.9","2153727.9"
