"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","18895385.4","34712963.2"
"5","январь-июнь","тысяча рублей","38996036.1","86175005.3"
"6","январь-сентябрь","тысяча рублей","65433658.8","160766605.6"
"7","январь-декабрь","тысяча рублей","98711135.7","251703135.2"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","11139172.9","25335189.3"
"10","январь-июнь","тысяча рублей","23069628.7","65135493.5"
"11","январь-сентябрь","тысяча рублей","38420824.6","125101015.2"
"12","январь-декабрь","тысяча рублей","60803856.7","198500574.8"
"13","Раздел C Обрабатывающие производства","","",""
"14","январь-март","тысяча рублей","909095.5","926914.2"
"15","январь-июнь","тысяча рублей","1767965.3","1911280.8"
"16","январь-сентябрь","тысяча рублей","2575179.8","2838772"
"17","январь-декабрь","тысяча рублей","3387630.8","3958167.2"
"18","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"19","январь-март","тысяча рублей","2720393.4","2687797.9"
"20","январь-июнь","тысяча рублей","4624651.2","4797199.5"
"21","январь-сентябрь","тысяча рублей","6800979.7","6692328.4"
"22","январь-декабрь","тысяча рублей","9440683.8","9636929.4"
"23","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"24","январь-март","тысяча рублей","172803.2",""
"25","январь-июнь","тысяча рублей","330842.8",""
"26","январь-сентябрь","тысяча рублей","485539.2","499851.3"
"27","январь-декабрь","тысяча рублей","","670731.1"
