"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","80343326.7","101417611.1"
"5","январь-июнь","тысяча рублей","127498523.1","218506164"
"6","январь-сентябрь","тысяча рублей","205607429.9","353641383"
"7","январь-декабрь","тысяча рублей","291695650.1","507554963.6"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","63553480.4","95109844.9"
"10","январь-июнь","тысяча рублей","103748468.6","202277560"
"11","январь-сентябрь","тысяча рублей","174910241.3","324953124.2"
"12","январь-декабрь","тысяча рублей","247338737.8","463771362.5"
"13","Раздел C Обрабатывающие производства","","",""
"14","январь-март","тысяча рублей","40504","134666.4"
"15","январь-июнь","тысяча рублей","93135.1","307091.6"
"16","январь-сентябрь","тысяча рублей","125579.6","496217.6"
"17","январь-декабрь","тысяча рублей","177765.1","668313.9"
"18","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"19","январь-март","тысяча рублей","910145.9","949457.7"
"20","январь-июнь","тысяча рублей","1697436.7","1984998.2"
"21","январь-сентябрь","тысяча рублей","2306307.3","2816579"
"22","январь-декабрь","тысяча рублей","3593553.1","4610055.2"
"23","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"24","январь-март","тысяча рублей","3340.9",""
"25","январь-июнь","тысяча рублей","3340.9",""
"26","январь-сентябрь","тысяча рублей","3340.9",""
